"elementor-widget-container href","attachment-large src","elementor-heading-title","elementor-heading-title 2"
"https://rotaractd9213.org/acacia-sunset-kampala-8825240/","https://rotaractd9213.org/wp-content/uploads/2024/07/Acacia-Sunset-Kampala-1024x557.png","Acacia Sunset Kampala","Club ID 8825240"
"https://rotaractd9213.org/arua-79179/","https://rotaractd9213.org/wp-content/uploads/2024/07/Arua-1024x557.png","Arua","Club ID 79179"
"https://rotaractd9213.org/arua-school-of-nursing-8825743/","https://rotaractd9213.org/wp-content/uploads/2024/07/Arua-School-of-Nursing-1024x557.png","Arua School of Nursing","Club ID 8825743"
"https://rotaractd9213.org/buganda-royal-institute-77118/","https://rotaractd9213.org/wp-content/uploads/2024/07/Buganda-Royal-Institute-1024x557.png","Buganda Royal Institute","Club ID 77118"
"https://rotaractd9213.org/bugiri-8823445/","https://rotaractd9213.org/wp-content/uploads/2024/07/Bugiri-1024x557.png","Bugiri","Club ID 8823445"
"https://rotaractd9213.org/bugolobi-63680/","https://rotaractd9213.org/wp-content/uploads/2024/07/Bugolobi-1024x557.png","Bugolobi","Club ID 63680"
"https://rotaractd9213.org/bukoto-90525/","https://rotaractd9213.org/wp-content/uploads/2024/07/Bukoto-1024x557.png","Bukoto","Club ID 90525"
"https://rotaractd9213.org/bulindo-8825411/","https://rotaractd9213.org/wp-content/uploads/2024/07/Bulindo-1024x557.png","Bulindo","Club ID 8825411"
"https://rotaractd9213.org/buloba-217791/","https://rotaractd9213.org/wp-content/uploads/2024/07/Buloba-1024x557.png","Buloba","Club ID 217791"
"https://rotaractd9213.org/busia-border-8825397/","https://rotaractd9213.org/wp-content/uploads/2024/07/Busia-Border-1024x557.png","Busia Border","Club ID 8825397"
"https://rotaractd9213.org/busitema-university-82110/","https://rotaractd9213.org/wp-content/uploads/2024/07/Busitema-University-1024x557.png","Busitema University","Club ID 82110"
"https://rotaractd9213.org/busitema-university-mbale-campus-213049/","https://rotaractd9213.org/wp-content/uploads/2024/07/Busitema-University-Mbale-Campus-1024x557.png","Busitema University, Mbale Campus","Club ID 213049"
"https://rotaractd9213.org/busitema-university-sam-owori-8824930/","https://rotaractd9213.org/wp-content/uploads/2024/07/Busitema-University-Sam-Owori-1024x557.png","Busitema University, Sam Owori","Club ID 8824930"
"https://rotaractd9213.org/butabika-49561/","https://rotaractd9213.org/wp-content/uploads/2024/07/Butabika-1024x557.png","Butabika","Club ID 49561"
"https://rotaractd9213.org/butabika-royals-8825292/","https://rotaractd9213.org/wp-content/uploads/2024/07/Butabika-Royals-1024x557.png","Butabika Royals","Club ID 8825292"
"https://rotaractd9213.org/bweyogerere-namboole-89594/","https://rotaractd9213.org/wp-content/uploads/2024/07/Bweyogerere-Namboole-1024x557.png","Bweyogerere Namboole","Club ID 89594"
"https://rotaractd9213.org/cape-munyonyo-213797/","https://rotaractd9213.org/wp-content/uploads/2024/07/Cape-Munyonyo-1024x557.png","Cape Munyonyo","Club ID 89594"
"https://rotaractd9213.org/cavendish-university-uganda-8823385/","https://rotaractd9213.org/wp-content/uploads/2024/07/Cavendish-University-Uganda-1024x557.png","Cavendish University Uganda","Club ID 8823385"
"https://rotaractd9213.org/clarke-international-university-89531/","https://rotaractd9213.org/wp-content/uploads/2024/07/Clarke-International-University-1024x557.png","Clarke International University","Club ID 89531"
"https://rotaractd9213.org/e-club-of-kampala-7-hills-8824296/","https://rotaractd9213.org/wp-content/uploads/2024/07/E-Club-of-Kampala-7-Hills-1024x557.png","E-Club of Kampala 7 Hills","Club ID 8824296"
"https://rotaractd9213.org/e-club-of-uganda-global-8823301/","https://rotaractd9213.org/wp-content/uploads/2024/11/E-Club-of-Uganda-Global-1024x557.png","E-Club of Uganda Global","Club ID 8823301"
"https://rotaractd9213.org/gayaza-8826239/","https://rotaractd9213.org/wp-content/uploads/2024/07/Gayaza-1024x557.png","Gayaza","Club ID 8826239"
"https://rotaractd9213.org/gayaza-football-8826237/","https://rotaractd9213.org/wp-content/uploads/2024/07/Gayaza-Football-1024x557.png","Gayaza Football","Club ID 8826237"
"https://rotaractd9213.org/gayaza-technical-8825538/","https://rotaractd9213.org/wp-content/uploads/2024/07/Gayaza-Technical-1024x557.png","Gayaza Technical","Club ID 8825538"
"https://rotaractd9213.org/gulu-216685/","https://rotaractd9213.org/wp-content/uploads/2024/07/Gulu-1024x557.png","Gulu","Club ID 216685"
"https://rotaractd9213.org/gulu-university-76138/","https://rotaractd9213.org/wp-content/uploads/2024/07/Gulu-University-1024x557.png","Gulu University","Club ID 76138"
